ros_time_sec,ground_truth_x,ground_truth_y,ground_truth_z,raw_gnss_lat,raw_gnss_lon,raw_gnss_alt,rtk_lat,rtk_lon,rtk_alt,raw_gnss_error_m,rtk_error_m,raw_gnss_std_m,rtk_std_m,improvement_pct,rtk_status_code,rtk_status_name,rtk_accuracy_m,correction_available,correction_quality,correction_age_sec,correction_sequence_id
1779301353.9211,0.0000,0.0000,0.2270,39.98101324,116.34400229,49.4781,39.98098700,116.34397916,49.1392,1.6650,2.5374,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,2.9999,15
1779301354.0212,0.0000,0.0000,0.2270,39.98098893,116.34403743,51.4847,39.98101255,116.34398412,50.8044,3.6460,2.0299,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,2.9999,15
1779301354.1211,0.0000,0.0000,0.2270,39.98099945,116.34399725,49.2448,39.98099387,116.34400784,48.3886,1.0117,2.0720,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,3.1999,16
1779301354.2211,0.0000,0.0000,0.2270,39.98100233,116.34397753,52.5956,39.98099840,116.34400281,50.6557,3.0581,0.5226,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,3.1999,16
1779301354.3211,0.0000,0.0000,0.2270,39.98100296,116.34402297,49.6106,39.98100578,116.34401945,52.5306,2.0799,2.9110,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,3.3999,17
1779301354.4211,0.0000,0.0000,0.2270,39.98098350,116.34400322,48.1748,39.98102323,116.34402903,49.9577,2.7678,3.5902,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,3.3999,17
1779301354.5211,0.0000,0.0000,0.2270,39.98101969,116.34399326,48.5664,39.98100867,116.34398427,49.6351,2.8095,1.7558,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,3.5999,18
1779301354.6213,0.0000,0.0000,0.2270,39.98099780,116.34399991,50.7334,39.98100122,116.34402475,51.1929,0.5626,2.3257,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,3.5999,18
1779301354.7211,0.0000,0.0000,0.2270,39.98099934,116.34396395,48.9622,39.98098817,116.34397857,49.7258,3.3260,2.3084,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,3.7999,19
1779301354.8212,0.0000,0.0000,0.2270,39.98098213,116.34401611,50.2729,39.98099558,116.34399149,51.7311,2.4183,1.7411,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,3.7999,19
