ros_time_sec,ground_truth_x,ground_truth_y,ground_truth_z,raw_gnss_lat,raw_gnss_lon,raw_gnss_alt,rtk_lat,rtk_lon,rtk_alt,raw_gnss_error_m,rtk_error_m,raw_gnss_std_m,rtk_std_m,improvement_pct,rtk_status_code,rtk_status_name,rtk_accuracy_m
1779127713.4893,50.0000,10.9990,30.0000,,,,,,,0.0000,0.0000,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779127713.5783,0.0000,0.0000,30.0000,39.98098697,116.34411473,81.2292,39.98100013,116.34412327,80.0235,0.0000,0.0000,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127713.5895,50.0000,11.4998,30.0000,39.98100586,116.34402458,79.3057,39.98099972,116.34400004,80.0067,1.9773,3.7908,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127713.6785,0.5007,0.0000,30.0000,39.98101588,116.34410787,78.8530,39.98099989,116.34412896,79.9791,0.5123,2.1768,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127713.6894,50.0000,11.9995,30.0000,39.98100265,116.34395860,81.0189,39.98100037,116.34400599,80.0046,1.8332,2.0090,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127713.7783,0.9999,0.0000,30.0000,39.98110098,116.34459112,79.9815,39.98110780,116.34458608,79.9583,1.3486,2.1118,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127713.7895,50.0000,12.5000,30.0000,39.98098473,116.34413603,78.2884,39.98100011,116.34413480,80.0095,1.1530,1.0495,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127713.8782,1.4996,0.0000,30.0000,39.98110097,116.34458416,78.7633,39.98112230,116.34459761,80.8147,1.7739,1.6909,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779127713.8893,50.0000,12.9991,30.0000,39.98100313,116.34400588,80.1750,39.98099951,116.34401791,79.9892,1.0717,1.3888,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127713.9783,1.9999,0.0000,30.0000,39.98100395,116.34415701,78.4304,39.98100025,116.34414647,80.0415,1.1115,2.4298,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127713.9894,50.0000,13.4996,30.0000,39.98099139,116.34401517,79.5873,39.98098833,116.34404973,81.4524,1.2596,2.9706,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779127714.0784,2.5003,0.0000,30.0000,39.98103399,116.34412339,79.7780,39.98099959,116.34415239,79.9877,2.5854,1.8242,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127714.0894,50.0000,13.9992,30.0000,39.98100938,116.34402312,76.6562,39.98100009,116.34402901,79.9557,1.5527,2.5756,1.5000,0.0300,98.00,1,GNSS_ONLY,1.5000
1779127714.1784,3.0002,0.0000,30.0000,39.98101252,116.34419633,81.2795,39.98100028,116.34415771,79.9979,1.5824,1.2410,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127714.1893,50.0000,14.4990,30.0000,39.98099583,116.34404617,80.6852,39.98099511,116.34402353,79.4274,1.2511,1.2690,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779127714.2784,3.5001,0.0000,30.0000,39.98099360,116.34414210,79.9450,39.98100008,116.34416410,80.0198,2.0608,0.9844,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127714.2894,50.0000,14.9995,30.0000,39.98100228,116.34404518,79.1962,39.98100007,116.34404125,79.9958,1.1921,3.3365,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
