ros_time_sec,ground_truth_x,ground_truth_y,ground_truth_z,raw_gnss_lat,raw_gnss_lon,raw_gnss_alt,rtk_lat,rtk_lon,rtk_alt,raw_gnss_error_m,rtk_error_m,raw_gnss_std_m,rtk_std_m,improvement_pct,rtk_status_code,rtk_status_name,rtk_accuracy_m
1779128223.3867,2.4992,0.0000,30.0000,,,,,,,0.0000,0.0000,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128223.4867,2.9991,0.0000,30.0000,,,,,,,0.0000,0.0000,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128223.5869,3.5001,0.0000,30.0000,,,,,,,0.0000,0.0000,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128223.6870,4.0007,0.0000,30.0000,39.98098599,116.34404052,81.1257,39.98097371,116.34405170,78.0467,0.0000,0.0000,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128223.7869,4.5004,0.0000,30.0000,39.98098599,116.34404052,81.1257,39.98097371,116.34405170,78.0467,1.9773,3.7908,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128223.8867,4.9994,0.0000,30.0000,39.98099574,116.34404328,79.9748,39.98101185,116.34402603,81.1667,0.5123,2.1768,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128223.9868,5.4998,0.0000,30.0000,39.98099526,116.34405108,80.7985,39.98100556,116.34406504,80.6462,1.1530,1.0495,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128224.0869,6.0005,0.0000,30.0000,39.98099452,116.34410214,79.2316,39.98100830,116.34405017,81.6935,3.3589,2.2829,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128224.1868,6.4996,0.0000,30.0000,39.98098868,116.34406834,78.7633,39.98101002,116.34408179,80.8147,1.7739,1.6909,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128224.2869,7.0003,0.0000,30.0000,39.98100313,116.34406449,80.1750,39.98101174,116.34408004,80.3354,1.0717,1.3888,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128224.3869,7.5002,0.0000,30.0000,39.98100091,116.34409401,80.4337,39.98098037,116.34409317,79.5205,1.1115,2.4298,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128224.4869,8.0003,0.0000,30.0000,39.98099139,116.34407966,79.5873,39.98098833,116.34411422,81.4524,1.2596,2.9706,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128224.5869,8.5004,0.0000,30.0000,39.98099549,116.34406420,80.2441,39.98100958,116.34410410,81.1900,2.5854,1.8242,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128224.6868,8.9998,0.0000,30.0000,39.98099377,116.34409352,81.2870,39.98098281,116.34409629,78.3001,1.5527,2.5756,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128224.7868,9.4999,0.0000,30.0000,39.98100670,116.34408934,80.2136,39.98099424,116.34411765,80.2378,1.5824,1.2410,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128224.8869,10.0003,0.0000,30.0000,39.98099583,116.34412237,80.6852,39.98099511,116.34409973,79.4274,1.2511,1.2690,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128224.9868,10.4999,0.0000,30.0000,39.98100656,116.34409621,79.2959,39.98100648,116.34411746,80.6698,2.0608,0.9844,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128225.0870,11.0006,0.0000,30.0000,39.98099867,116.34413480,79.3651,39.98097726,116.34412169,77.8293,1.1921,3.3365,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128225.1869,11.5000,0.0000,30.0000,39.98098656,116.34410570,80.5997,39.98099490,116.34411304,81.9488,2.5561,2.4422,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128225.2871,12.0010,0.0000,30.0000,39.98100994,116.34412855,78.5996,39.98098720,116.34413121,79.4915,1.8630,1.5441,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128225.3869,12.5001,0.0000,30.0000,39.98097672,116.34415547,80.6516,39.98099199,116.34414487,77.8309,2.9541,2.3720,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128225.4870,13.0005,0.0000,30.0000,39.98099287,116.34414781,80.3490,39.98102158,116.34414693,79.6410,0.8743,2.4296,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128225.5869,13.5004,0.0000,30.0000,39.98100242,116.34413441,80.3300,39.98101125,116.34417631,80.5353,1.5932,2.4520,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128225.6870,14.0008,0.0000,30.0000,39.98098398,116.34418400,79.0404,39.98099475,116.34414198,77.9350,2.9864,2.5569,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128225.7868,14.4999,0.0000,30.0000,39.98099701,116.34417531,77.7938,39.98100422,116.34414628,81.2572,2.4261,2.0304,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128225.8868,14.9999,0.0000,30.0000,39.98103926,116.34420510,80.6216,39.98097127,116.34415259,80.4016,5.3349,3.5485,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128225.9870,15.5007,0.0000,30.0000,39.98099440,116.34416155,79.0819,39.98101436,116.34417337,80.2356,1.6487,1.6300,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128226.0870,16.0005,0.0000,30.0000,39.98098604,116.34417893,77.4880,39.98099928,116.34417317,82.6519,2.9631,2.7516,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128226.1870,16.5006,0.0000,30.0000,39.98101324,116.34418987,79.2511,39.98098700,116.34416674,78.9122,1.6650,2.5374,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128226.2870,17.0008,0.0000,30.0000,39.98098893,116.34423087,81.2577,39.98101255,116.34417756,80.5774,3.6460,2.0299,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128226.3870,17.5008,0.0000,30.0000,39.98099945,116.34419655,79.0178,39.98099387,116.34420715,78.1616,1.0117,2.0720,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128226.4869,18.0003,0.0000,30.0000,39.98100233,116.34418270,82.3686,39.98099840,116.34420798,80.4287,3.0581,0.5226,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128226.5869,18.5003,0.0000,30.0000,39.98100296,116.34423399,79.3836,39.98100578,116.34423048,82.3036,2.0799,2.9110,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128226.6871,19.0012,0.0000,30.0000,39.98098350,116.34422011,77.9478,39.98102323,116.34424592,79.7307,2.7678,3.5902,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128226.7870,19.5006,0.0000,30.0000,39.98101969,116.34421602,78.3394,39.98100867,116.34420702,79.4081,2.8095,1.7558,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128226.8871,20.0010,0.0000,30.0000,39.98099780,116.34422852,80.5064,39.98100122,116.34425336,80.9659,0.5626,2.3257,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128226.9869,20.5002,0.0000,30.0000,39.98099934,116.34419843,78.7352,39.98098817,116.34421305,79.4988,3.3260,2.3084,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128227.0869,21.0003,0.0000,30.0000,39.98098213,116.34425644,80.0459,39.98099558,116.34423182,81.5041,2.4183,1.7411,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128227.1869,21.5001,0.0000,30.0000,39.98101802,116.34425566,79.7682,39.98099698,116.34423396,80.3637,2.1748,1.1553,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128227.2869,22.0003,0.0000,30.0000,39.98098539,116.34425516,80.1357,39.98103392,116.34425607,82.8153,1.6536,4.7226,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128227.3870,22.5006,0.0000,30.0000,39.98099613,116.34424291,77.8048,39.98100425,116.34424753,81.8088,2.5773,2.0690,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128227.4870,23.0008,0.0000,30.0000,39.98099119,116.34425096,76.7791,39.98098568,116.34426092,79.2058,3.5402,1.7972,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128227.5868,23.4997,0.0000,30.0000,39.98099873,116.34425423,77.3634,39.98102869,116.34424385,78.0689,2.9498,4.3327,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128227.6869,24.0004,0.0000,30.0000,39.98102475,116.34425621,84.3576,39.98099504,116.34425489,80.5123,5.4118,1.9120,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128227.7869,24.5003,0.0000,30.0000,39.98098670,116.34431176,79.6321,39.98100586,116.34429504,79.4358,3.0084,1.4503,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128227.8868,24.9998,0.0000,30.0000,39.98098147,116.34428487,79.6427,39.98100313,116.34428254,79.1670,2.1027,0.9873,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128227.9868,25.4995,0.0000,30.0000,39.98101365,116.34430137,80.2331,39.98100072,116.34429927,80.0001,1.6918,0.5336,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128228.0868,25.9997,0.0000,30.0000,39.98100426,116.34428625,79.8541,39.98102120,116.34433575,80.5788,1.1909,3.9702,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128228.1870,26.5007,0.0000,30.0000,39.98098501,116.34429139,81.7867,39.98100647,116.34430942,77.3831,2.6994,2.7426,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128228.2870,27.0008,0.0000,30.0000,39.98100612,116.34432699,78.3344,39.98100355,116.34430239,80.0787,2.2747,0.8142,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128228.3869,27.5003,0.0000,30.0000,39.98099861,116.34431140,79.6220,39.98101983,116.34431922,76.1500,0.5992,4.4437,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128228.4871,28.0012,0.0000,30.0000,39.98100238,116.34431823,80.4440,39.98097633,116.34431586,80.4920,0.6273,2.7381,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128228.5869,28.5000,0.0000,30.0000,39.98097933,116.34435864,81.2957,39.98099917,116.34432249,78.4207,3.6995,1.6570,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128228.6871,29.0012,0.0000,30.0000,39.98101752,116.34432823,80.8740,39.98101587,116.34436458,80.6586,2.1951,3.2101,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128228.7870,29.5006,0.0000,30.0000,39.98100592,116.34437066,81.2420,39.98100090,116.34433478,78.9539,2.9697,1.1412,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128228.8870,30.0009,0.0000,30.0000,39.98098412,116.34436325,81.1735,39.98101578,116.34434249,81.1263,2.5893,2.1064,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128228.9874,30.5025,0.0000,30.0000,39.98100985,116.34438373,77.6419,39.98098421,116.34435053,79.2226,3.7710,1.9249,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779128229.0868,30.9997,0.0000,30.0000,39.98100859,116.34438417,78.9516,39.98100007,116.34435462,79.6959,2.6744,0.3960,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500
1779128229.1870,31.5005,0.0000,30.0000,39.98100420,116.34435162,81.7330,39.98099485,116.34436520,80.0761,2.0581,0.5976,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500
1779128229.2870,32.0006,0.0000,30.0000,39.98100558,116.34437056,82.4243,39.98099867,116.34436325,80.1477,2.5049,0.5565,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500
1779128229.3869,32.5001,0.0000,30.0000,39.98101989,116.34434734,80.5525,39.98099872,116.34437764,80.2034,3.2917,0.3264,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500
1779128229.4869,33.0004,0.0000,30.0000,39.98100314,116.34439980,80.3516,39.98099806,116.34438180,79.9631,1.6776,0.2292,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500
1779128229.5870,33.5009,0.0000,30.0000,39.98100517,116.34438419,81.4997,39.98099972,116.34438377,80.3704,1.6224,0.4563,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500
1779128229.6871,34.0013,0.0000,30.0000,39.98098892,116.34437967,80.3035,39.98100003,116.34439522,80.3322,1.6904,0.3936,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500
1779128229.7869,34.5004,0.0000,30.0000,39.98101134,116.34441368,80.8312,39.98099954,116.34440543,79.4991,1.9842,0.7695,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500
1779128229.8872,35.0015,0.0000,30.0000,39.98099383,116.34443267,80.1618,39.98099640,116.34440830,79.6871,2.5076,0.6046,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500
1779128229.9871,35.5012,0.0000,30.0000,39.98098930,116.34438218,80.6595,39.98100062,116.34441187,79.6468,2.7610,0.3830,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500
1779128230.0868,35.9997,0.0000,30.0000,39.98100073,116.34437557,79.2923,39.98100158,116.34441754,80.0346,3.5376,0.2126,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500
1779128230.1869,36.5002,0.0000,30.0000,39.98100309,116.34443540,80.7951,39.98099960,116.34441997,80.0492,1.4319,0.1883,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500
1779128230.2870,37.0006,0.0000,30.0000,39.98099469,116.34444233,80.7818,39.98099974,116.34442713,80.2074,1.5732,0.2197,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500
1779128230.3869,37.5002,0.0000,30.0000,39.98098253,116.34439872,77.7767,39.98099848,116.34442693,80.1874,4.2027,0.6358,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500
1779128230.4872,38.0016,0.0000,30.0000,39.98100267,116.34443462,81.6338,39.98099984,116.34444352,80.3384,1.7146,0.4743,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500
1779128230.5871,38.5014,0.0000,30.0000,39.98098872,116.34444713,79.1084,39.98099801,116.34444117,79.9105,1.5466,0.4408,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500
1779128230.6870,39.0006,0.0000,30.0000,39.98102319,116.34446550,77.9267,39.98099766,116.34445252,80.1187,3.5233,0.3023,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500
1779128230.7870,39.5005,0.0000,30.0000,39.98097533,116.34445491,81.3924,39.98099880,116.34445544,79.7326,3.0855,0.3350,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500
