ros_time_sec,ground_truth_x,ground_truth_y,ground_truth_z,raw_gnss_lat,raw_gnss_lon,raw_gnss_alt,rtk_lat,rtk_lon,rtk_alt,raw_gnss_error_m,rtk_error_m,raw_gnss_std_m,rtk_std_m,improvement_pct,rtk_status_code,rtk_status_name,rtk_accuracy_m
1779127461.6031,0.0000,49.0008,30.0000,39.98098833,116.34397921,80.1189,39.98100001,116.34401664,80.0564,0.0000,0.0000,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127461.7032,0.0000,48.5000,30.0000,39.98099698,116.34400712,79.7064,39.98099961,116.34402332,79.9752,0.0000,0.0000,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127461.8031,0.0000,48.0006,30.0000,39.98103420,116.34399091,79.8232,39.98099998,116.34402920,80.0155,1.9773,3.7908,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127461.9032,0.0000,47.5004,30.0000,39.98100579,116.34405910,78.7031,39.98100031,116.34403532,79.9574,0.5123,2.1768,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127462.0032,0.0000,47.0002,30.0000,39.98097786,116.34402134,78.4016,39.98100031,116.34404134,80.0430,1.8332,2.0090,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127461.5892,1.4986,0.0000,30.0000,39.98142154,116.34401545,79.7227,39.98143868,116.34398803,79.7682,1.3486,2.1118,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127461.6893,1.9989,0.0000,30.0000,39.98142154,116.34401545,79.7227,39.98143868,116.34398803,79.7682,1.3486,2.1118,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127461.7893,2.4991,0.0000,30.0000,39.98142154,116.34401545,79.7227,39.98143868,116.34398803,79.7682,1.3486,2.1118,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127461.8895,3.0000,0.0000,30.0000,39.98099526,116.34401590,80.7985,39.98100556,116.34402986,80.6462,1.3486,2.1118,1.5000,0.0300,98.00,1,GNSS_ONLY,1.5000
1779127461.9894,3.4995,0.0000,30.0000,39.98099526,116.34401590,80.7985,39.98100556,116.34402986,80.6462,1.1530,1.0495,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779127462.0895,3.9998,0.0000,30.0000,39.98100313,116.34402932,80.1750,39.98101174,116.34404487,80.3354,1.0717,1.3888,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779127462.1031,0.0000,46.5005,30.0000,39.98100091,116.34405883,80.4337,39.98098037,116.34405799,79.5205,1.1115,2.4298,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779127462.1894,4.4996,0.0000,30.0000,39.98140911,116.34399173,79.5873,39.98141739,116.34399985,79.9935,1.2596,2.9706,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127462.2032,0.0000,46.0001,30.0000,39.98098782,116.34403562,78.7840,39.98100958,116.34406306,81.1900,2.5854,1.8242,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779127462.2895,5.0000,0.0000,30.0000,39.98140699,116.34399387,81.2870,39.98141303,116.34399999,79.9591,1.5527,2.5756,1.5000,1.5000,0.00,3,RTK_FIXED,0.0300
1779127462.3032,0.0000,45.5002,30.0000,39.98100670,116.34404245,80.2136,39.98099424,116.34407076,80.2378,1.5824,1.2410,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779127462.3895,5.5000,0.0000,30.0000,39.98140457,116.34401100,80.6852,39.98140384,116.34398836,79.4274,1.2511,1.2690,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779127462.4032,0.0000,45.0003,30.0000,39.98100656,116.34404345,79.2959,39.98100018,116.34406434,80.0260,2.0608,0.9844,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779127462.4893,5.9989,0.0000,30.0000,39.98140292,116.34401170,79.3651,39.98138151,116.34399860,77.8293,1.1921,3.3365,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779127462.5032,0.0000,44.5000,30.0000,39.98098656,116.34404707,80.5997,39.98099991,116.34407002,79.9884,2.5561,2.4422,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127462.5894,6.4993,0.0000,30.0000,39.98140969,116.34399374,78.5996,39.98138695,116.34399639,79.4915,1.8630,1.5441,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779127462.6032,0.0000,44.0001,30.0000,39.98099270,116.34410439,78.3122,39.98100009,116.34407660,80.0480,1.8630,1.5441,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127462.6895,6.9998,0.0000,30.0000,39.98139542,116.34398606,80.2882,39.98139557,116.34400022,79.9805,1.8630,1.5441,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127462.7032,0.0000,43.5001,30.0000,39.98098262,116.34407708,79.3726,39.98099986,116.34408334,79.9874,1.8630,1.5441,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127462.7894,7.4992,0.0000,30.0000,39.98140197,116.34402173,78.9670,39.98139121,116.34400012,80.0597,1.8630,1.5441,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127462.8032,0.0000,43.0001,30.0000,39.98098831,116.34410341,79.9552,39.98100044,116.34408782,79.9716,1.8630,1.5441,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127462.8893,7.9990,0.0000,30.0000,39.98142554,116.34403511,80.6216,39.98135755,116.34398260,80.4016,5.3349,3.5485,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779127462.9032,0.0000,42.5003,30.0000,39.98099440,116.34407948,79.0819,39.98101436,116.34409130,80.2356,1.6487,1.6300,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779127462.9894,8.4992,0.0000,30.0000,39.98136783,116.34399721,77.4880,39.98138106,116.34399145,82.6519,2.9631,2.7516,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779127463.0032,0.0000,42.0004,30.0000,39.98101324,116.34410193,79.2511,39.98100018,116.34409932,79.9595,1.6650,2.5374,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779127463.0894,8.9995,0.0000,30.0000,39.98136623,116.34403743,81.2577,39.98138985,116.34398412,80.5774,3.6460,2.0299,1.5000,0.0300,98.00,1,GNSS_ONLY,1.5000
1779127463.1032,0.0000,41.5000,30.0000,39.98098438,116.34408075,79.6785,39.98100022,116.34410481,80.0055,1.0117,2.0720,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779127463.1896,9.5001,0.0000,30.0000,39.98137512,116.34397753,82.3686,39.98137120,116.34400281,80.4287,3.0581,0.5226,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
